Species	ts	te	trait1	trait2	trait3	trait4	trait5	redundancy
taxon1193	3.61449044	2.09324101	3	1	0	4	1	4
taxon1194	3.8361343	0	3	1	0	4	3	4
taxon1195	0.60403855	0.29010666	3	1	0	4	2	4
taxon1196	16.01093177	1.75141821	3	1	0	4	2	4
taxon1197	9.15445358	7.9386337	3	1	0	4	2	4
taxon1198	4.80496248	4.32789505	3	1	0	4	2	4
taxon1199	23.36198003	17.03682916	3	1	0	4	2	4
taxon1200	8.42463408	7.02349535	3	1	0	4	2	4
taxon1201	1.33553146	1.01366442	3	1	0	4	2	4
taxon1202	23.19141403	16.46052825	3	1	0	4	2	4
taxon1203	21.28511217	2.40278669	3	1	0	4	2	4
taxon1204	3.20191054	0	3	1	0	4	2	4
taxon1205	1.96870747	0.88573166	3	1	0	4	2	4
taxon1206	1.52036296	1.06757615	3	1	0	4	2	4
taxon1207	23.04892749	6.87168369	3	1	0	4	2	4
taxon1208	52.97810154	16.41263056	3	1	0	4	2	4
taxon1209	0.57945562	0	3	1	0	4	2	4
taxon1210	11.5236467	3.37182044	3	1	0	4	2	4
taxon1211	20.72474726	19.47318015	3	1	0	4	2	4
taxon1212	21.52184475	0	3	1	0	4	1	4
taxon1213	3.09509512	2.31780761	3	1	0	4	2	4
taxon1214	15.01997197	1.85474884	3	1	0	4	2	4
taxon1215	2.82842864	2.21453092	3	1	0	4	2	4
taxon1216	17.21507225	10.97641312	3	1	0	4	2	4
taxon1217	28.11601116	16.04248105	3	1	0	4	2	4
taxon1218	1.94348863	0.85509606	3	1	0	4	2	4
taxon1219	22.26093414	3.6734141	3	1	0	3	2	4
taxon1220	23.58420789	2.20515239	3	1	0	4	2	4
taxon1221	23.78196254	16.22728465	3	1	0	4	2	4
taxon1222	11.28444023	5.01124484	3	1	0	4	2	4
taxon1223	11.56910098	3.97890042	3	1	0	4	2	4
taxon1224	23.8590278	16.01789937	3	1	0	4	2	4
taxon1225	23.44283715	16.57135367	3	1	0	4	2	4
taxon1226	10.41594214	9.0571241	3	1	0	4	2	4
taxon1227	2.9083479	2.32286142	3	1	0	4	2	4
taxon1228	11.38022572	2.16724606	3	1	0	4	2	4
taxon1229	23.49907897	16.27554318	3	1	0	4	2	4
taxon1230	0.58078961	0.28368971	3	1	0	4	2	4
taxon1231	3.0788775	2.39450824	3	1	0	4	2	4
taxon1232	20.18876109	19.05378563	3	1	0	4	2	4
taxon1233	3.16927467	0.70307607	3	1	0	4	2	4
taxon1234	3.02292385	2.41770889	3	1	0	4	2	4
taxon1235	19.88575057	11.17708177	3	1	0	3	2	4
taxon1236	20.48209132	19.41657176	3	1	0	4	2	4
taxon1237	3.74494503	2.13096796	3	1	0	4	2	4
taxon1238	10.77519825	0	0	3	1	3	2	4
taxon1239	2.8419133	0	3	1	0	3	2	4
taxon1240	3.16671623	2.28592604	3	1	0	3	2	4
taxon1241	3.2535095	2.46436657	3	1	0	3	2	4
taxon1242	3.80191935	1.81221777	3	1	0	3	2	4
taxon1243	20.86445304	19.74074347	0	3	4	2	2	4
taxon1244	4.85464243	0	3	1	0	1	1	4
taxon1245	4.82011493	2.05550335	3	1	0	0	1	3
taxon1246	1.82160597	0	3	1	0	1	1	4
taxon1247	1.94040237	0	3	1	0	1	1	4
taxon1248	11.51039113	5.87886765	0	3	1	3	3	4
taxon1249	23.71837711	16.22653723	0	2	1	4	2	2
taxon1250	23.44823553	1.55193842	0	2	1	4	2	3
taxon1251	16.63586665	10.74034761	0	2	1	4	2	3
taxon1252	23.31375558	16.21139515	3	1	0	3	2	4
taxon1253	22.76273005	17.4737823	3	1	0	3	2	4
taxon1254	21.29792651	20.01920453	3	1	0	3	2	4
taxon1255	15.68800339	3.32059304	3	1	0	3	2	4
taxon1256	11.03083385	2.06238653	3	1	0	3	2	4
taxon1257	21.61258623	20.47960462	3	1	0	3	2	4
taxon1258	20.81487864	19.5038408	3	1	0	3	2	4
taxon1259	23.48388255	14.94784726	3	1	0	3	2	4
taxon1260	3.16412806	2.44209134	3	1	0	3	2	4
taxon1261	18.28735437	0.79063174	3	1	0	3	2	4
taxon1262	8.96303262	7.86509537	3	1	0	3	2	4
taxon1263	3.82009158	1.95538827	3	1	0	3	2	4
taxon1264	10.60708149	5.23513086	3	1	0	3	2	4
taxon1265	1.43398014	0.9679898	3	1	0	3	2	4
taxon1266	23.34771397	16.63466718	3	1	0	3	2	4
taxon1267	1.57529774	1.16477134	3	1	0	3	2	4
taxon1268	1.7495675	1.25255203	3	1	0	3	2	4
taxon1269	3.2136654	2.50553098	3	1	0	3	2	4
taxon1270	23.10524418	17.95857737	3	1	0	3	2	4
taxon1271	3.81454018	1.80615327	3	1	0	3	2	4
taxon1272	22.40440797	16.92200764	3	1	0	3	2	4
taxon1273	20.87010711	19.69215754	3	1	0	3	2	4
taxon1274	4.04818092	2.03480148	3	1	0	3	2	4
taxon1275	10.42531534	3.12796099	3	1	0	3	2	4
taxon1276	22.31952962	5.67924012	3	1	0	3	2	4
taxon1277	16.16583678	11.02744461	3	1	0	2	2	4
taxon1278	2.96419554	2.42646713	3	1	0	3	2	4
taxon1279	3.4056913	1.76966089	3	1	0	3	2	4
taxon1280	1.5612272	1.13659545	3	1	0	3	2	4
taxon1281	6.17850437	0	1	3	1	3	1	4
taxon1282	3.62763614	1.88028632	3	1	0	2	2	4
taxon1283	1.63848084	0	3	1	0	2	2	4
taxon1284	3.66084468	0.17245271	3	1	0	2	2	4
taxon1285	3.49452264	0.81356932	3	1	0	2	2	4
taxon1286	1.56963716	1.13578141	3	1	0	2	2	4
taxon1287	11.30100774	1.72526995	3	1	0	2	2	4
taxon1288	0.67630982	0	3	1	0	2	1	4
taxon1289	14.85222542	2.01780682	3	1	0	2	2	4
taxon1290	2.87020455	2.16830547	3	1	0	2	2	4
taxon1291	2.92692742	2.20268628	3	1	0	2	2	4
taxon1292	0.87237119	0	3	1	0	2	1	4
taxon1293	9.02931706	7.4518177	3	1	0	2	2	4
taxon1294	3.25626462	2.61500513	0	3	1	4	3	4
taxon1295	23.24960476	17.08912492	0	3	1	4	1	4
taxon1296	5.27738394	2.23831531	0	3	1	4	3	4
taxon1297	3.44687949	0.2386353	0	1	1	1	2	3
taxon1298	5.75332657	0.18048031	0	1	1	0	2	2
taxon1299	4.60756244	1.94872385	0	1	1	0	2	2
taxon1300	3.45430302	0	0	1	1	1	2	3
taxon1301	1.61107743	1.08458513	0	1	1	1	2	3
taxon1302	10.85937977	1.65689359	0	1	1	0	2	2
taxon1303	3.68042485	0	0	1	1	1	3	0
taxon1304	16.27276805	0	0	1	1	1	2	3
taxon1305	4.75064187	1.88965207	0	1	1	1	2	3
taxon1306	3.11142583	2.39067916	0	1	1	1	2	3
taxon1307	22.0311918	11.09218093	0	1	1	1	2	3
taxon1308	23.84838323	12.84499485	0	1	1	1	2	3
taxon1309	4.78549677	4.0879349	0	1	1	1	2	3
taxon1310	3.38336648	2.53978203	0	1	1	1	2	3
taxon1311	3.51904149	2.0184226	0	1	1	0	2	2
taxon1312	3.59822585	1.75862795	3	1	0	3	1	4
taxon1313	3.10518893	2.3564045	3	1	0	3	1	4
taxon1314	22.55281304	15.77197554	3	1	0	3	1	4
taxon1315	23.24466037	15.55964418	3	1	0	3	1	4
taxon1316	22.41388086	10.14520643	3	1	0	3	1	4
taxon1317	1.50761838	0	3	1	0	3	1	4
taxon1318	16.61141917	11.66037886	3	1	0	3	1	4
taxon1319	3.8718809	2.1766034	3	1	0	3	1	4
taxon1320	9.42837691	3.36732051	3	1	0	3	1	4
taxon1321	16.36708937	10.81677469	3	1	0	3	1	4
taxon1322	20.82647546	19.85347265	3	1	0	3	1	4
taxon1323	1.7540672	1.3058641	3	1	0	3	1	4
taxon1324	3.17816449	2.46024838	3	1	0	3	1	4
taxon1325	3.47240052	2.66893686	3	1	0	3	1	4
taxon1326	4.82663041	4.19188037	3	1	0	1	2	4
taxon1327	11.25177053	5.46643334	3	1	0	1	1	4
taxon1328	10.96593151	2.15679258	3	1	0	2	4	4
taxon1329	27.44104123	10.84197374	0	0	4	5	1	2
taxon1330	1.76331401	1.14829511	0	0	4	5	1	2
taxon1331	27.33153878	14.25142647	0	0	4	5	1	2
taxon1332	3.03706988	0	0	0	4	5	1	2
taxon1333	11.18183237	0	0	0	4	5	0	1
taxon1334	3.14815825	0	2	1	2	3	3	2
taxon1335	4.69774956	4.10717885	2	1	2	2	3	3
taxon1336	11.30966047	0	0	0	4	2	3	0
taxon1337	3.66985249	1.87641484	0	0	4	2	2	2
taxon1338	3.71982131	2.130867	0	0	4	1	2	0
taxon1339	22.66739853	15.32235862	0	0	4	2	2	2
taxon1340	33.8742932	18.58122975	0	1	4	5	2	3
taxon1341	15.24141962	14.05778721	0	1	4	5	2	3
taxon1342	22.87838497	0.7997953	0	1	2	3	2	3
taxon1343	5.63159337	1.96769557	0	1	2	3	2	3
taxon1344	3.33193075	2.65901218	0	1	2	3	2	3
taxon1345	23.36913604	10.87081502	0	1	2	4	2	2
taxon1346	3.43967467	0	0	1	2	3	2	3
taxon1347	2.8455423	2.25068393	0	1	2	3	2	3
taxon1348	23.34890599	0	0	1	2	4	1	3
taxon1349	4.77370819	4.1332055	0	1	2	2	2	1
taxon1350	14.98820117	0	0	1	2	3	2	3
taxon1351	5.75162465	1.95577556	0	1	2	3	2	3
taxon1352	23.37524813	0	0	1	2	4	1	3
taxon1353	1.49632514	1.11251909	0	1	2	3	2	3
taxon1354	21.85007174	16.89733866	0	1	2	3	3	2
taxon1355	3.25242935	2.63540984	0	1	2	3	3	2
taxon1356	3.04082724	2.52187275	2	1	0	0	1	4
taxon1357	4.59959225	3.94495981	2	1	0	5	5	4
taxon1358	5.18355097	3.58010862	3	1	0	3	3	4
taxon1359	5.02021867	0	0	1	2	3	1	2
taxon1360	23.3904324	5.88714938	0	1	2	3	1	2
taxon1361	22.64985893	10.94111942	0	1	2	3	1	2
taxon1362	11.11226967	6.03274164	0	1	2	3	1	2
taxon1363	8.11702619	6.92828104	0	1	2	3	1	2
taxon1364	11.59227007	1.69236282	0	1	2	4	1	3
taxon1365	9.6717603	1.76091921	0	1	2	3	1	2
taxon1366	14.56287268	5.189236	3	1	0	4	4	4
taxon1367	2.91941944	2.24976654	3	1	0	1	1	4
taxon1368	23.46422531	16.75891726	3	1	0	1	1	4
taxon1369	3.23566763	2.62391148	3	1	0	1	1	4
taxon1370	3.22632419	2.64166365	3	1	0	1	1	4
taxon1371	3.12100406	2.56771916	3	1	0	1	1	4
taxon1372	3.66216198	1.97705839	3	1	0	1	1	4
taxon1373	3.12401937	2.50332895	3	1	0	1	1	4
taxon1374	3.18541939	2.54411871	3	1	0	1	1	4
taxon1375	9.79967858	0	0	1	0	4	4	0
taxon1376	23.26757734	12.87967456	4	3	1	2	1	3
taxon1377	3.03837926	2.44146247	4	3	1	2	1	3
taxon1378	3.23694792	2.416691	4	3	1	2	1	3
taxon1379	3.25543581	2.63230295	4	3	1	2	1	3
taxon1380	8.69443656	0	4	3	1	2	2	3
taxon1381	1.87372972	0	4	3	1	2	1	3
taxon1382	5.07613582	1.84482618	4	3	1	2	1	3
taxon1383	5.36908318	1.81657701	4	3	1	2	1	3
taxon1384	2.93821467	2.3874165	4	3	1	2	1	3
taxon1385	15.62109387	1.55789604	4	3	1	2	1	3
taxon1386	23.81600239	15.96514411	0	3	1	3	3	3
taxon1387	10.64215792	0	0	3	1	2	3	3
taxon1388	10.08068422	0	0	3	1	3	3	3
taxon1389	23.56262427	0.60239551	0	1	2	4	2	2
taxon1390	22.12108427	0	0	1	2	4	3	2
taxon1391	23.46867219	12.5374063	0	0	4	4	2	3
taxon1392	23.00392781	12.03743208	0	0	4	3	1	2
taxon1393	27.71936486	0.21640361	0	0	4	4	1	3
taxon1394	10.50944333	0	0	1	4	5	2	3
taxon1395	1.9134525	0.24827277	1	3	1	3	1	4
taxon1396	3.65225346	0.31923046	1	3	1	3	1	4
taxon1397	0.82994878	0	1	3	1	3	1	4
taxon1398	9.32756674	0	0	3	2	4	1	1
taxon1399	23.79421494	5.61419565	0	3	2	3	1	3
taxon1400	12.61768656	3.47930725	0	3	2	3	1	3
taxon1401	13.55769972	5.29438884	0	3	2	3	1	3
taxon1402	9.46362434	0	0	3	2	3	1	3
taxon1403	5.45183418	0.8843584	0	3	2	3	1	3
taxon1404	8.66266606	7.25218655	0	3	2	3	1	3
taxon1405	8.29329795	7.16283999	0	3	2	3	1	3
taxon1406	15.95276339	1.84245358	0	3	2	3	1	3
taxon1407	10.80538051	5.33120866	0	3	2	3	1	3
taxon1408	23.38743584	6.61592647	0	3	2	3	1	3
taxon1409	11.49905639	1.82330552	0	3	2	3	1	3
taxon1410	1.92832598	0.33253731	0	3	2	3	1	3
taxon1411	15.71110784	0.86914456	0	3	2	3	1	3
taxon1412	10.83515855	5.86413026	0	3	2	3	1	3
taxon1413	4.96288348	0.82726012	0	3	2	4	1	1
taxon1414	21.42379458	6.80686483	0	3	2	3	1	3
taxon1415	3.09169538	2.45220377	0	3	1	4	3	4
taxon1416	27.46677845	6.62461939	0	3	1	4	3	4
taxon1417	11.66994319	4.73533443	0	3	1	4	3	4
taxon1418	3.12226198	2.44633661	0	3	1	4	3	4
taxon1419	22.90849804	9.87843701	0	3	1	4	3	4
taxon1420	3.60847316	0.28100867	0	3	1	4	3	4
taxon1421	5.64484417	1.01908867	0	3	1	4	3	4
taxon1422	9.75170583	5.91062756	0	3	1	4	1	4
taxon1423	4.7707009	4.1094969	0	3	1	4	1	4
taxon1424	23.58806344	5.00398785	0	3	1	4	1	4
taxon1425	16.35186837	6.28599614	0	3	1	4	1	4
taxon1426	8.74098927	1.93820392	0	3	1	4	1	4
taxon1427	5.01488745	4.22830523	0	3	1	4	1	4
taxon1428	3.62438833	0	0	3	1	4	1	4
taxon1429	21.56242762	11.96110365	0	3	1	4	1	4
taxon1430	22.76573991	1.55156228	0	2	1	3	3	1
taxon1431	15.80529371	2.16804589	0	2	1	3	3	1
taxon1432	5.66474617	3.62958474	3	1	0	1	4	3
taxon1433	16.11802706	11.0969906	3	1	0	1	4	3
taxon1434	20.75825333	19.63792045	3	1	0	1	4	3
taxon1435	11.42718263	1.92358707	3	1	0	1	4	3
taxon1436	6.29276837	0	3	1	0	1	5	3
taxon1437	20.81094536	2.05295317	3	1	0	1	4	3
taxon1438	10.67505102	5.80840974	3	1	0	1	4	3
taxon1439	2.91596545	2.28831428	3	1	0	2	3	4
taxon1440	3.27019428	2.56827498	3	1	0	2	3	4
taxon1441	22.4599937	10.14185687	2	1	0	0	3	4
taxon1442	4.09946918	0	2	1	0	0	3	4
taxon1443	1.78133281	0	2	1	0	2	2	3
taxon1444	1.51347285	1.08831772	2	1	0	0	3	4
taxon1445	22.2773096	11.00850216	2	1	0	0	3	4
taxon1446	1.52880437	1.05989905	2	1	0	0	3	4
taxon1447	14.43179505	0	2	1	0	0	3	4
taxon1448	4.85249794	1.93531863	2	1	0	0	3	4
taxon1449	0.97121782	0	2	1	0	0	3	4
taxon1450	16.50762953	0.26715973	2	1	0	0	3	4
taxon1451	16.71401704	11.07602473	3	1	0	1	3	4
taxon1452	3.84409467	2.13522302	3	1	0	1	3	4
taxon1453	22.6604096	15.27814436	3	1	0	1	3	4
taxon1454	24.14657637	16.39768739	3	1	0	1	3	4
taxon1455	11.37038119	1.80572508	3	1	0	0	2	4
taxon1456	5.15785366	0.27084667	3	1	0	0	3	3
taxon1457	23.99727624	0.23555137	3	1	0	0	2	4
taxon1458	1.92078231	0.17975329	3	1	0	0	2	4
taxon1459	3.76097629	1.77031664	3	1	0	0	2	4
taxon1460	4.67656145	3.99242352	3	1	0	0	2	4
taxon1461	12.45601676	1.99213578	3	1	0	0	2	4
taxon1462	10.95122079	5.43532312	3	1	0	0	5	3
taxon1463	22.09094329	17.24249688	3	1	0	1	2	4
taxon1464	21.39356896	20.2159756	3	1	0	3	3	4
taxon1465	5.23974569	2.01679301	3	1	0	4	2	4
taxon1466	1.44379648	1.05475991	3	1	0	4	2	4
taxon1467	11.55211654	3.69913298	3	1	0	4	2	4
taxon1468	8.8797171	7.33483951	1	3	1	2	0	1
taxon1469	0.6324902	0	1	3	1	2	0	1
taxon1470	3.64439354	1.766658	1	3	1	2	0	1
taxon1471	4.93657251	4.04922371	3	1	0	3	3	4
taxon1472	23.81344	12.19064522	3	1	0	3	3	4
taxon1473	23.58218336	10.84513659	3	1	0	3	3	4
taxon1474	3.1847802	2.5749566	3	1	0	3	3	4
taxon1475	23.83039865	11.47829615	3	1	0	3	3	4
taxon1476	22.69611901	3.52693128	3	1	0	4	3	4
taxon1477	10.74194037	6.29602736	3	1	0	3	3	4
taxon1478	22.30177297	2.2236689	3	1	0	4	3	4
taxon1479	3.58024694	1.72932024	3	1	0	4	4	4
taxon1480	1.61395286	1.10764335	3	1	0	3	4	4
taxon1481	5.09120661	0.64877823	3	1	0	3	4	4
taxon1482	2.18184292	0.86636781	3	1	0	3	4	4
taxon1483	13.90317341	12.59755242	3	1	0	3	4	4
taxon1484	0.83925377	0	3	1	0	2	2	4
taxon1485	22.22120297	5.77779991	3	1	0	5	1	4
taxon1486	9.65799793	5.47187835	3	1	0	4	2	4
taxon1487	23.49459988	11.43606081	3	1	0	4	2	4
taxon1488	8.13697099	6.90874952	3	1	0	4	2	4
taxon1489	23.21056954	10.95136273	3	1	0	4	2	4
taxon1490	3.12485389	2.43453194	3	1	0	3	1	4
taxon1491	0.84255006	0	3	1	0	3	1	4
taxon1492	22.40968739	0	3	1	0	3	1	4
taxon1493	2.74853224	2.09832378	3	1	0	3	1	4
taxon1494	2.99301482	0	3	1	0	3	1	4
taxon1495	3.40189374	0	3	1	0	4	1	4
taxon1496	4.72121563	3.97151496	3	1	0	4	3	4
taxon1497	4.74673568	4.21384673	3	1	0	4	3	4
taxon1498	20.67466282	19.17958867	3	1	0	4	3	4
taxon1499	22.59779951	16.47046945	3	1	0	5	1	4
taxon1500	22.96876104	17.02770802	3	1	0	5	1	4
taxon1501	23.03615771	0	3	1	0	5	1	4
taxon1502	10.44508193	3.31334231	3	1	0	3	1	4
taxon1503	14.10484127	12.82178934	3	1	0	3	2	4
taxon1504	14.82624808	13.16991528	0	3	1	5	1	3
taxon1505	1.69750707	0	0	3	1	5	1	3
taxon1506	23.00829496	17.213948	3	1	0	1	4	4
taxon1507	9.35492835	8.06688853	3	1	0	1	2	4
taxon1508	22.52132454	16.75162072	3	1	0	1	3	4
taxon1509	10.82266579	5.60277948	3	1	0	1	3	4
taxon1510	23.40639677	16.87550215	3	1	0	1	2	4
taxon1511	23.02645003	7.23483168	3	1	0	1	2	4
taxon1512	1.81450303	0.93467709	3	1	0	1	2	4
taxon1513	22.28840882	16.8744366	3	1	0	1	2	4
taxon1514	4.88760167	4.12131217	3	1	0	1	2	4
taxon1515	22.65218274	21.47359685	3	1	0	2	2	4
taxon1516	3.36856664	2.07450353	3	1	0	2	1	4
taxon1517	1.34163403	0.91025368	3	1	0	2	4	4
taxon1518	11.34069575	2.08064743	3	1	0	2	4	4
taxon1519	9.64171479	0	3	1	0	2	4	4
taxon1520	3.04118937	2.34632701	0	2	2	3	2	4
taxon1521	3.76638216	1.75935927	0	2	2	3	2	1
taxon1522	23.67079245	16.37523129	0	1	2	4	1	3
taxon1523	14.39383442	4.98488469	0	3	1	4	2	4
taxon1524	22.9104677	1.60031681	0	3	1	4	2	4
taxon1525	15.22544151	5.91674908	0	3	1	4	2	4
taxon1526	28.02939033	4.18111462	0	3	1	4	2	4
taxon1527	31.17850315	7.23757343	0	3	1	4	2	4
taxon1528	14.49511423	5.25105464	0	3	1	4	2	4
taxon1529	22.95575875	10.72033215	0	3	1	4	2	4
taxon1530	15.39530496	5.26817165	0	3	1	4	2	4
taxon1531	0.64792623	0.39587398	3	1	0	2	3	4
taxon1532	9.25981812	8.19427611	3	1	0	2	3	4
taxon1533	3.59417041	0	3	1	0	2	3	4
taxon1534	1.64025666	1.20289188	0	0	4	4	2	2
taxon1535	3.26199868	2.2075178	0	0	4	4	2	2
taxon1536	9.51114837	0.7493842	0	0	4	4	2	2
taxon1537	11.4068218	0	0	0	4	4	2	2
taxon1538	11.44471304	2.57692554	0	0	4	4	2	2
taxon1539	11.47206117	5.72151809	0	0	4	4	2	2
taxon1540	5.50037787	2.24628609	0	0	4	4	2	2
taxon1541	1.73866837	0	0	1	4	3	2	3
taxon1542	3.65609208	0	3	1	0	1	2	4
taxon1543	0.7127997	0	3	1	0	1	3	4
taxon1544	2.03357278	0.7787442	3	1	0	1	3	4
taxon1545	1.65823288	0.19721594	3	1	0	2	3	4
taxon1546	3.80246449	1.97926293	2	1	0	1	5	3
taxon1547	7.96855231	6.56866197	3	1	0	3	3	4
taxon1548	0.7591007	0	3	1	0	3	3	4
taxon1549	20.33152829	19.36178788	3	1	0	3	1	4
taxon1550	1.18554715	0	3	1	0	3	1	4
taxon1551	3.65228593	0.28501073	3	1	0	3	1	4
taxon1552	23.60204	16.43215163	3	1	0	3	1	4
taxon1553	12.7609038	0	3	1	0	3	1	4
taxon1554	3.21278751	0	3	1	0	3	1	4
taxon1555	1.49656811	1.03598239	3	1	0	3	1	4
taxon1556	23.67754805	16.45449553	3	1	0	3	1	4
taxon1557	9.60186926	8.4101411	2	1	0	2	3	4
taxon1558	29.19352271	0	0	0	4	4	2	2
taxon1559	8.06123211	6.97730221	3	1	0	5	3	4
taxon1560	1.47664371	1.02708523	2	1	0	0	1	4
taxon1561	1.40386804	1.0254534	2	1	0	0	1	4
taxon1562	0.69080906	0	2	1	0	0	1	4
taxon1563	2.98107633	2.21737242	2	1	0	0	1	4
taxon1564	16.13814745	11.21864599	2	1	0	0	1	4
taxon1565	28.62709115	18.18570082	0	1	1	4	2	4
taxon1566	23.74280999	16.65057221	0	1	4	2	5	2
taxon1567	11.12724599	3.98514802	0	1	4	2	5	2
taxon1568	7.73538044	6.58789654	0	1	4	2	5	2
taxon1569	23.4399431	16.50196612	0	3	1	4	2	4
taxon1570	1.72585757	1.23760314	0	3	1	4	2	4
taxon1571	11.24519702	0	0	3	1	5	2	3
taxon1572	23.74096269	10.98524326	0	3	1	4	2	4
taxon1573	4.88690305	4.09128639	2	1	2	3	2	3
taxon1574	2.81407223	2.1996596	2	1	2	3	2	3
taxon1575	1.75462277	0.17790478	2	1	2	3	2	3
taxon1576	1.98543184	0.28292313	2	1	2	3	2	3
taxon1577	3.15386473	2.44211218	2	1	2	3	2	3
taxon1578	8.96746282	0	2	1	2	4	1	1
taxon1579	28.04856814	16.62102119	2	1	2	2	2	0
taxon1580	3.02947716	2.2835216	2	1	2	3	2	3
taxon1581	1.66298975	1.18930907	2	1	2	3	2	3
taxon1582	16.37791611	12.42504042	2	1	2	3	2	3
taxon1583	4.98849119	3.94666243	2	1	2	3	2	3
taxon1584	1.61280413	1.18283484	2	1	2	3	2	3
taxon1585	3.53815126	0	2	1	2	3	3	2
taxon1586	4.83472874	0	2	1	2	2	3	3
taxon1587	0.8968201	0	2	1	2	2	3	3
taxon1588	3.1427793	2.48378838	2	1	2	3	2	3
taxon1589	22.94636041	16.05390059	2	1	2	3	2	3
taxon1590	0.83318183	0	2	1	2	3	3	2
taxon1591	0.57514072	0	2	1	2	3	3	2
taxon1592	17.06151817	0.2633624	0	3	1	2	2	4
taxon1593	3.59637363	2.09152184	0	3	1	2	2	4
taxon1594	3.02864162	2.30416989	0	3	1	2	2	4
taxon1595	11.29523714	2.08801207	0	3	1	2	2	4
taxon1596	16.25251464	11.02062907	0	3	1	2	2	4
taxon1597	1.20810661	0.81524041	0	3	1	2	2	4
taxon1598	2.67143309	2.13089563	0	3	1	2	2	4
taxon1599	22.14910595	0	0	3	1	2	3	3
taxon1600	3.07674433	2.3733027	0	3	1	2	2	4
taxon1601	22.43068534	16.8430757	0	3	1	2	2	4
taxon1602	0.59131386	0.30388773	0	3	1	2	2	4
taxon1603	10.40480825	0	0	3	1	2	3	3
taxon1604	19.29269015	17.94812597	0	3	1	2	2	4
taxon1605	22.14130921	18.17722425	0	3	1	2	2	4
taxon1606	12.43425493	3.58167184	0	3	1	2	2	4
taxon1607	3.15756366	2.572415	0	3	1	2	2	4
taxon1608	0.90172301	0	0	3	1	1	2	4
taxon1609	8.31981721	7.07810553	3	1	0	4	2	4
taxon1610	27.09930837	2.09352747	0	1	2	3	2	3
taxon1611	19.88995079	18.64327609	0	1	2	3	2	3
taxon1612	2.83816672	0.82702702	0	1	2	3	2	3
taxon1613	21.77919988	10.65494943	0	1	2	3	2	3
taxon1614	5.15174462	1.90278562	0	1	2	3	2	3
taxon1615	23.57691721	0.70510532	0	1	2	3	2	3
taxon1616	21.22854174	0	0	1	2	3	1	2
taxon1617	4.80363774	4.1812438	0	1	2	2	2	1
taxon1618	20.21623756	0	0	1	2	3	1	2
taxon1619	20.12236148	19.28881226	3	1	0	4	3	4
taxon1620	22.48470398	0	3	1	0	4	2	4
taxon1621	3.07674023	0	3	1	0	4	3	4
taxon1622	14.46550255	1.9395267	3	1	0	4	2	4
taxon1623	23.28957946	16.34666613	3	1	0	4	3	4
taxon1624	23.43596255	1.20953507	3	1	0	4	3	4
taxon1625	20.83232396	1.78607469	3	1	0	4	3	4
taxon1626	14.8188792	1.88426942	4	3	1	2	1	3
taxon1627	11.29928382	2.05951262	4	3	1	2	1	3
taxon1628	10.26832132	0	4	3	1	3	1	2
taxon1629	16.45251271	11.10753533	4	3	1	2	1	3
taxon1630	3.51231742	2.07156058	4	4	1	2	1	1
taxon1631	23.68715415	16.62746853	4	3	1	3	4	1
taxon1632	9.27745436	8.27005112	4	3	1	2	4	0
taxon1633	1.90850318	0.72571914	4	3	1	3	4	1
taxon1634	3.91199301	1.66990084	3	1	0	1	1	4
taxon1635	33.43011744	3.06895521	3	1	0	3	5	3
taxon1636	2.89366507	2.15317419	3	1	0	3	5	3
taxon1637	11.25139267	5.39728549	3	1	0	2	3	4
taxon1638	8.63652138	7.37232744	3	1	0	2	4	4
taxon1639	10.8608491	3.73130007	3	1	0	3	1	4
taxon1640	16.53198944	11.04346332	3	1	0	2	2	4
taxon1641	10.24263636	5.82761537	0	3	1	3	2	4
taxon1642	20.62047846	19.39553518	0	3	1	3	2	4
taxon1643	3.35777435	0	0	3	1	3	2	4
taxon1644	4.15321129	0	0	3	1	3	1	4
taxon1645	22.99459056	16.39630828	0	3	1	3	2	4
taxon1646	4.87696337	3.8969386	0	3	1	3	2	4
taxon1647	0.89485538	0	0	3	1	3	1	4
taxon1648	21.17872784	19.68043182	0	3	1	3	2	4
taxon1649	5.46259319	1.96000222	0	3	1	3	2	4
taxon1650	0.84511944	0	0	3	1	3	2	4
taxon1651	9.32939209	8.32154644	0	3	1	3	2	4
taxon1652	16.90860504	1.7002152	3	1	0	3	2	3
taxon1653	16.66221994	4.76992097	3	1	0	3	3	4
taxon1654	23.00430157	2.23838088	3	1	0	3	5	4
taxon1655	24.09309424	5.71378696	3	1	0	3	1	4
taxon1656	11.42312327	1.73274599	0	3	1	4	1	4
taxon1657	27.89567958	15.80784887	0	3	1	4	1	4
taxon1658	5.42980853	0	0	3	1	4	1	4
taxon1659	16.68110808	10.86406203	0	3	1	4	1	4
taxon1660	27.69115056	4.92530109	0	3	1	4	1	4
taxon1661	1.55333696	0	0	3	1	5	1	3
taxon1662	11.25710185	0	0	3	1	5	1	3
taxon1663	23.16210588	16.86924173	0	3	1	4	1	4
taxon1664	10.86744282	5.17957454	0	3	1	5	1	3
taxon1665	1.57583622	0.93937111	0	1	4	4	4	2
taxon1666	3.03216961	2.34523887	3	1	0	2	2	4
taxon1667	3.16781264	2.48539077	3	1	0	2	2	4
taxon1668	4.75309967	4.26063146	3	1	0	2	2	4
taxon1669	0.64344827	0	3	1	0	3	1	4
