clade	band_id	ts	te
0	354	1992	2000
0	356	1989	2000
0	359	1990	2000
0	360	1994	2000
0	362	1994	2000
0	363	1991	2000
0	364	1993	1999
0	365	1994	2000
0	366	2000	2000
0	367	1997	2000
0	368	1988	2000
0	369	1988	1995
0	370	1995	2000
0	371	1981	2000
0	372	1991	2000
0	373	1986	2000
0	374	1988	2000
0	375	1997	2000
0	376	1984	1995
0	378	1986	2000
0	379	1979	2000
0	380	1990	2000
0	381	1986	2000
0	382	1992	2000
0	383	1992	2000
0	384	1984	2000
0	386	1991	2000
0	387	2000	2000
0	388	1999	2000
0	389	1998	1999
0	390	1992	2000
0	391	1982	2000
0	392	1993	2000
0	393	1980	2000
0	394	1993	2000
0	395	1990	2000
0	396	1986	1986
0	397	1998	2000
0	398	1991	1997
0	400	1993	2000
0	401	1977	2000
0	402	1997	2000
0	403	1993	2000
0	404	1999	2000
0	405	1994	2000
0	406	1984	2000
0	407	1995	2000
0	408	1997	2000
0	409	1998	2000
0	410	1993	2000
0	411	1995	2000
0	412	1996	2000
0	413	1999	2000
0	414	1995	2000
0	415	1983	2000
0	416	1991	2000
0	417	1998	2000
0	418	1997	2000
0	419	1982	2000
0	420	1994	2000
0	421	1994	2000
0	422	1997	2000
0	423	1987	2000
0	424	1995	2000
0	425	1993	1995
0	426	1996	2000
0	428	1995	2000
0	429	1999	2000
0	430	1997	2000
0	431	1999	2000
0	432	1996	2000
0	436	1995	2000
0	437	1987	2000
0	438	1987	2000
0	439	1999	2000
0	440	1991	2000
0	441	1985	2000
0	442	1992	2000
0	443	1973	2000
0	444	1992	2000
0	445	1999	2000
0	446	1996	2000
0	447	1994	2000
0	448	1990	2000
0	449	2000	2000
0	450	1996	2000
0	451	1995	2000
0	452	1984	2000
0	453	1996	2000
0	454	1997	2000
0	455	1998	2000
0	456	1991	2000
0	457	1999	2000
0	458	1989	2000
0	459	1996	2000
0	460	1982	1990
0	461	1984	2000
0	462	1984	2000
0	463	1989	1994
0	464	1999	2000
0	465	1986	2000
0	466	1993	2000
0	467	1988	2000
0	468	1984	1990
0	469	1996	2000
0	470	1994	2000
0	471	1993	2000
0	472	1989	2000
0	473	1999	2000
0	474	1984	2000
0	475	1989	2000
0	476	1999	2000
0	477	1999	2000
0	478	1998	2000
0	479	1999	2000
0	480	1997	2000
0	481	1996	2000
0	482	1998	2000
0	483	1999	2000
0	484	2000	2000
0	485	1985	2000
0	487	1995	2000
0	488	1998	2000
0	489	1986	1987
0	490	1990	1990
0	491	1991	2000
0	492	1996	2000
0	493	1999	2000
0	494	1982	2000
0	495	1996	2000
0	496	1993	2000
0	497	1986	2000
0	498	1999	2000
0	499	1994	2000
0	500	1997	2000
0	501	1988	1992
0	502	1998	2000
0	503	1990	2000
0	504	1989	2000
0	505	1998	2000
0	506	1989	2000
0	507	1995	2000
0	508	1988	2000
0	509	1987	2000
0	510	1983	2000
0	512	1988	2000
0	513	1995	1998
0	514	2000	2000
0	515	1996	2000
0	516	1981	1985
0	517	1990	2000
0	518	1998	2000
0	519	1994	2000
0	520	1998	1999
0	521	1987	2000
0	522	1989	1999
0	523	1992	2000
0	524	1984	2000
0	525	1990	1995
0	526	1999	2000
0	527	1986	1996
0	528	1995	2000
0	529	1984	2000
0	530	1998	2000
0	532	1990	2000
0	533	1983	2000
0	535	1984	2000
0	536	1995	2000
0	537	1978	2000
0	538	1993	2000
0	539	1993	1996
0	540	1984	2000
0	541	1998	2000
0	542	1981	2000
0	543	1985	2000
0	544	1982	2000
0	545	1994	1997
0	546	1999	2000
0	547	1996	2000
0	548	1983	2000
0	549	1996	2000
0	550	1991	2000
0	551	1999	2000
0	552	1995	2000
0	553	1999	2000
0	554	1993	1997
0	555	1991	2000
0	556	1987	2000
0	557	1995	2000
