it	posterior	likelihood	prior	lambda_avg	mu_avg	K_l	K_m	root_age	death_age	gamma_rate_hp_BI	gamma_rate_hp_D	poisson_rate_hp	corr_coeff	rsquared	gelman_r2
930000	-459.67522165	-456.157294865	-3.51792678525	0.0676941195858	0.00305025419313	3	1	1968.0	2000.5	23.016913887080207	50.88827799958726	1.347788369990361	0.337404626751	0.45349291124	0.477632156996
940000	-462.370281735	-454.687001857	-7.68327987731	0.0812835484032	0.00249434775426	3	1	1968.0	2000.5	7.416779226796386	35.937784897468084	1.7358361296847804	0.376896729367	0.482770040906	0.499491757135
950000	-458.053663998	-453.754343005	-4.29932099352	0.0695956277424	0.00263309984465	3	1	1968.0	2000.5	22.41003361131644	41.11570202798357	1.5340427730351867	0.357811743248	0.484296045134	0.496056045602
960000	-463.255301851	-457.055955524	-6.19934632757	0.0843594152731	0.00504247716128	4	1	1968.0	2000.5	17.196172303662234	50.21427603242238	3.9051007268915616	0.396445760848	0.478207055142	0.505370870704
970000	-456.723804973	-452.46873544	-4.25506953295	0.0797447053198	0.00205946611116	3	1	1968.0	2000.5	22.422114968460626	46.51195020509978	1.3009720419323716	0.391330023504	0.483646077142	0.497117331333
980000	-455.947989902	-452.029248846	-3.91874105657	0.0792006711984	0.00123864392798	3	1	1968.0	2000.5	20.985609457585056	60.46986050742526	1.5737467117975417	0.373720219682	0.481320350743	0.496832931387
990000	-464.32268972	-455.670731682	-8.65195803774	0.108007513012	0.00279460816209	4	1	1968.0	2000.5	14.50730032581496	32.93934692492415	4.16155087099784	0.377129337939	0.539242108471	0.560594328119
1000000	-470.709265365	-468.187056634	-2.52220873102	0.084417188413	0.00431380007617	2	1	1968.0	2000.5	10.589854149123713	39.56648769536442	0.7883194114224141	0.353690833344	0.452242816428	0.47546937031
1010000	-463.234455461	-459.342886183	-3.89156927842	0.0668219433113	0.00358470363367	3	1	1968.0	2000.5	26.997267015478343	25.79850352128795	2.1661345451592178	0.316572552978	0.443076970729	0.473567088831
1020000	-463.665234954	-454.686172446	-8.97906250769	0.0902320562106	0.0020181352468	4	1	1968.0	2000.5	11.31015026834282	42.50554676114847	2.334854442139974	0.463619812184	0.483590923003	0.493902585332
1030000	-461.403629444	-456.741285436	-4.66234400751	0.0795335195987	0.00250073405962	3	1	1968.0	2000.5	13.8156399007403	41.167706793166815	1.2250270368327105	0.345984090429	0.459255328563	0.486441832383
1040000	-458.672036053	-453.601221681	-5.07081437105	0.0815429780416	0.00225028223778	3	1	1968.0	2000.5	20.93962295170885	31.5838104648431	1.3890997110113665	0.41743980996	0.484602416367	0.493701679537
1050000	-458.307749425	-451.566764891	-6.74098453361	0.0800347957164	0.00131750539257	3	1	1968.0	2000.5	22.953699754301308	22.29095477504796	1.0835206156947161	0.393800245507	0.482402806533	0.494831173709
1060000	-462.610311146	-452.384924661	-10.2253864851	0.0936614288542	0.00263626993119	4	1	1968.0	2000.5	26.797825170375	10.870414690820668	3.9010972029938236	0.409931734318	0.497786270484	0.506400298021
1070000	-457.942578625	-453.317440041	-4.62513858392	0.0880616569591	0.00150716517423	3	1	1968.0	2000.5	25.19992275460533	42.383389304188974	2.1725385957027643	0.422583580998	0.482586992804	0.496651784963
1080000	-462.15740906	-456.539337263	-5.61807179775	0.0757473336785	0.00339247968783	3	1	1968.0	2000.5	11.119013979619094	47.59232821869246	1.205872922973318	0.337386543786	0.469051818529	0.495114377283
1090000	-462.431876175	-450.956738044	-11.4751381304	0.141999627646	0.00242644319308	4	1	1968.0	2000.5	12.520963947222182	18.112548330147426	1.3775963118954668	0.578685813068	0.677540114499	0.67164419437
1100000	-464.279672441	-459.182254934	-5.09741750724	0.0815891679352	0.0236287657462	3	2	1968.0	2000.5	15.523027648106751	43.29385410382955	3.3484953867976253	0.386143638384	0.468459252756	0.515309466829
1110000	-465.553605648	-456.575192901	-8.97841274659	0.0704481989805	0.0482368878752	3	2	1968.0	2000.5	16.549494067596395	27.490242468351806	1.1130191783099972	0.332687245169	0.454972856048	0.476051223222
1120000	-470.517041191	-457.426364207	-13.0906769845	0.15447824418	0.050410618198	4	2	1968.0	2000.5	15.888175799677972	23.165856716316966	4.338062004025973	0.595485757504	0.702599898149	0.693598888596
1130000	-463.96720364	-454.711254961	-9.25594867895	0.0704258784177	0.066107594198	3	2	1968.0	2000.5	24.621454550464946	7.636498664435949	4.454492074017831	0.348040460279	0.445926901223	0.474103944781
1140000	-461.240401911	-454.890660983	-6.34974092794	0.0724646957421	0.00215730725604	3	1	1968.0	2000.5	23.987836408155335	13.97954390313396	1.8079449686469973	0.329655882013	0.479450498526	0.498564504637
1150000	-465.863515494	-456.322827805	-9.54068768901	0.140419980395	0.00211300804237	3	1	1968.0	2000.5	16.534829174267305	9.16988799987754	3.8683347932168877	0.52927834272	0.65142966988	0.644355170758
1160000	-460.850074676	-448.903356447	-11.9467182298	0.122871982561	0.00117973527293	4	1	1968.0	2000.5	12.170704524523796	16.863056008545122	2.8062067550504137	0.501999260154	0.65262489232	0.652153232643
1170000	-458.876452126	-451.972643433	-6.90380869281	0.0747112859411	0.00209433741196	3	1	1968.0	2000.5	22.560606547972267	11.201657970087506	2.9177521857158366	0.357968919348	0.481554711132	0.498440286387
1180000	-464.084476179	-457.309722868	-6.77475331108	0.0795100787588	0.00838068224587	3	2	1968.0	2000.5	18.741756685890774	27.049691651001186	4.02094772169661	0.389407614915	0.485419054244	0.500418584548
1190000	-460.514333295	-452.186717302	-8.32761599366	0.0761929874126	0.00128546593343	3	1	1968.0	2000.5	10.415058179541168	25.138304769106384	1.376157231562413	0.386771920326	0.483412282043	0.493236352251
1200000	-463.912503958	-456.531386077	-7.38111788029	0.0656799007171	0.000433736899847	3	1	1968.0	2000.5	18.582979783805143	22.162516112008802	1.94260615492986	0.334140083526	0.471144981727	0.48049384106
1210000	-463.64988151	-457.585252925	-6.06462858541	0.0793760188637	0.00162720869466	3	1	1968.0	2000.5	28.802716692191442	21.87979450738575	1.7461385470414934	0.378214453694	0.486711227054	0.491474737158
1220000	-469.830618046	-460.493107604	-9.33751044207	0.132884696784	0.0037216056413	3	1	1968.0	2000.5	8.639385036791024	9.42824705089424	1.5416446650071198	0.371486438905	0.708175438436	0.737763540953
1230000	-459.10855973	-454.285935542	-4.82262418879	0.0757634087338	0.00392183249802	3	1	1968.0	2000.5	10.818321854200052	56.14488056121279	2.096921763638422	0.378586817184	0.483721226733	0.500574933842
1240000	-463.152974422	-453.253701007	-9.8992734141	0.0924123295289	0.00195330462493	4	1	1968.0	2000.5	25.676348625934168	19.40774471967279	1.3722457872926743	0.339098740718	0.455167794678	0.470667568704
1250000	-457.718894213	-452.947481494	-4.77141271911	0.0825064247881	0.00257753052664	3	1	1968.0	2000.5	17.439720564684745	45.04555796904768	1.471981327617946	0.419655845353	0.48409870062	0.495775765048
1260000	-461.270798258	-453.913058612	-7.35773964571	0.0742987022482	0.00364409765675	3	1	1968.0	2000.5	17.086172825056614	6.9825684541941495	1.656412553987015	0.347566150843	0.479524583859	0.503247480704
1270000	-463.314840573	-455.370658801	-7.94418177192	0.0948587940396	0.00198728491195	3	1	1968.0	2000.5	13.309935971671992	19.66701253335648	3.2898576400093047	0.462663369863	0.498818130164	0.497971720879
1280000	-465.19519931	-460.608829139	-4.58637017025	0.0574346286994	0.00136302036553	2	1	1968.0	2000.5	14.510199993953005	19.67686656655894	0.9244082285707793	0.278944544889	0.421540405646	0.448927687086
1290000	-459.062279891	-454.1726517	-4.88962819055	0.0775679212153	0.00153689800044	3	1	1968.0	2000.5	32.440379397822355	36.835246893655814	2.0638848747064906	0.346210714896	0.477561029366	0.496444286329
1300000	-463.979428556	-453.38968928	-10.5897392762	0.117143429022	0.00120010509124	4	1	1968.0	2000.5	15.017999747197212	16.19970962021231	2.3764727689785285	0.471140200916	0.497402265758	0.507559346275
1310000	-460.409926744	-451.34488397	-9.06504277344	0.121318442235	0.00125368236317	4	1	1968.0	2000.5	11.866692176006945	55.88379100478253	2.313344295044674	0.511454823617	0.657389370486	0.648380163429
1320000	-465.606169975	-458.999188874	-6.6069811003	0.110987351247	0.00786260010615	3	2	1968.0	2000.5	21.56591949062575	64.91391159264725	0.8969142644785407	0.382158774659	0.627245173756	0.656046330145
1330000	-458.056859942	-452.360737861	-5.69612208119	0.0745192597961	0.00101654471979	3	1	1968.0	2000.5	19.533295083883054	27.362606526150522	0.7151252938849946	0.337889281788	0.477051581653	0.496025726614
1340000	-457.311546277	-452.845179762	-4.46636651469	0.081185691488	0.00196004854453	3	1	1968.0	2000.5	26.2562996464354	38.647436643669536	3.0603931214300406	0.374729474737	0.475937184096	0.495990543606
